id,title,artist,genre,mood,energy
1,Sunrise City,Neon Echo,pop,happy,0.82
2,Midnight Coding,LoRoom,lofi,chill,0.42
3,Storm Runner,Voltline,rock,intense,0.91
4,Library Rain,Paper Lanterns,lofi,chill,0.35
5,Gym Hero,Max Pulse,pop,intense,0.93
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75
9,Focus Flow,LoRoom,lofi,focused,0.40
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76
11,Electric Sunset,Nova Wave,electronic,energetic,0.88
12,Rainy Pages,The Drifters,folk,melancholy,0.25
13,Neon Rush,Blade Circuit,electronic,intense,0.95
14,Golden Hour,Amber Skies,r&b,happy,0.55
15,Hollow Echo,Glass Tide,alternative,melancholy,0.40
16,Poolside Groove,Summer Collective,funk,relaxed,0.68
17,Still Water,Mono Leaf,classical,focused,0.15
18,Late Night Drive,Echo Park,synthwave,moody,0.70
19,Desert Wind,Sahara Sound,world,chill,0.45
20,Thunder Clap,Riot Signal,metal,intense,0.98
21,Velvet Underground Dreams,The Cassette Kids,indie,melancholy,0.44
22,Pulse of the City,Skyline Drift,electronic,energetic,0.87
23,Morning Fog,Cedar & Ash,folk,chill,0.30
24,Blaze Protocol,Ironfield,metal,intense,0.96
25,Pastel Afternoon,Hana Bloom,lofi,relaxed,0.38
26,Neon Cathedral,Parallax,synthwave,moody,0.72
27,Silk & Static,Velour Jones,r&b,relaxed,0.52
28,Crater Lake,Dusk Colony,ambient,chill,0.22
29,Get Up Stand Tall,Brass Republic,funk,energetic,0.80
30,Shattered Aria,Obsidian Choir,classical,melancholy,0.18
31,Afterglow Highway,Coral Drive,pop,happy,0.79
32,Subzero,Circuit Wraith,electronic,intense,0.92
33,Wildwood Trail,Ember & Pine,folk,relaxed,0.34
34,Diamond Static,Rose Gold Riot,indie pop,moody,0.58
35,Quantum Drift,Axon Sky,electronic,focused,0.65
36,Tenderness,Marcus Laine,jazz,happy,0.40
37,Crimson Peak,Wolfhound,rock,intense,0.89
38,Lavender Haze Drive,Soft Circuit,synthwave,chill,0.60
39,Paper Boats,Wren Hollow,indie,melancholy,0.32
40,Street Percussion,Groove Division,funk,energetic,0.83
41,Between the Clouds,Still Scape,ambient,focused,0.20
42,Carnival of Ghosts,Phantom Brass,jazz,moody,0.48
43,Arcade Summer,Neon Echo,pop,happy,0.85
44,Iron Ritual,Molten Sky,metal,intense,0.97
45,Shoreline Lullaby,Blue Marrow,r&b,chill,0.46
46,Café Equations,LoRoom,lofi,focused,0.37
47,Horizons Unfolding,Vast Current,ambient,relaxed,0.25
48,Hollow Signal,Grey Bloom,alternative,moody,0.50
49,Sundial,Copper Coast,indie,happy,0.67
50,Starfield Ballad,Nova Rime,classical,relaxed,0.14
51,Full Send,Voltage Atlas,rock,energetic,0.90
52,Rain on the Freeway,Slow Stereo,jazz,melancholy,0.33
53,Glitter Protocol,Prism Pop,pop,energetic,0.88
54,Deep Forest Signal,Mycelium Tone,ambient,chill,0.24
55,Dusk Circuit,Parallax,synthwave,moody,0.74
56,Overflow,Static Ember,electronic,intense,0.93
57,City Cipher,Northline Crew,hip hop,energetic,0.84
58,Midnight Freestyle,Velvet Blocks,hip hop,moody,0.62
59,Concrete Poetry,Atlas Verse,hip hop,focused,0.58
60,Bassline District,808 Syndicate,hip hop,intense,0.91
61,Golden Era Tape,Crate Scholars,hip hop,happy,0.66
62,Night Bus Stories,Southbound Mic,hip hop,melancholy,0.49
63,Run the Block,Iron Tempo,hip hop,energetic,0.88
64,Loft Session,Paper Rhymes,hip hop,chill,0.46
